update,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
0,262.362,0.251,108.440,0.0121,153.187,5,5,1.0000,3276.80,-402.4800,-0.005480,1.020592,1.922284,4.2,6.0,34.2,154.0
1,396.004,0.065,169.323,0.0117,225.979,0,0,0.0000,16384.00,-1283.3000,-0.009266,0.534217,2.491261,34.2,154.0,34.2,228.0
2,592.594,0.131,227.518,0.0122,364.110,1,1,1.0000,16384.00,-350.7000,0.005838,0.800300,2.801759,34.2,228.0,34.2,224.0
