update,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
187,392.222,0.087,163.627,0.0107,227.822,19,19,1.0000,862.32,362.4263,0.015924,1.107207,1.553629,4.2,10.0,34.2,154.0
188,564.741,0.069,240.723,0.0109,323.091,1,1,1.0000,16384.00,2953.2998,-0.029964,0.125143,2.306130,34.2,154.0,34.2,208.0
189,626.390,0.058,284.781,0.0105,340.687,3,3,1.0000,5461.33,788.2667,-0.001144,0.240591,2.471809,34.2,208.0,34.2,196.0
190,624.677,0.067,276.584,0.0104,347.175,1,1,1.0000,16384.00,2018.7001,-0.005301,0.148150,2.551568,34.2,196.0,34.2,190.0
191,653.161,0.062,294.057,0.0121,358.115,0,0,0.0000,16384.00,1782.5000,-0.000593,0.069953,2.530347,34.2,190.0,33.8,192.0
192,664.955,0.039,305.690,0.0118,358.256,8,8,1.0000,2048.00,332.4375,-0.005792,0.769397,2.476806,33.8,192.0,34.2,230.0
193,637.490,0.052,286.522,0.0099,349.992,6,6,1.0000,2730.67,429.2166,-0.012012,0.562477,2.471739,34.2,230.0,34.2,244.0
194,636.261,0.033,283.019,0.0107,352.307,0,0,0.0000,16384.00,1908.2999,-0.028724,0.097166,2.578501,34.2,244.0,33.8,192.0
195,654.847,0.048,284.723,0.0102,369.150,1,1,1.0000,16384.00,1592.9000,0.004540,0.211483,2.690031,33.8,192.0,33.8,196.0
196,636.707,0.069,284.849,0.0102,350.867,2,2,1.0000,8192.00,910.3000,0.012304,0.445857,2.616939,33.8,196.0,34.2,200.0
197,674.359,0.068,313.219,0.0112,360.087,0,0,0.0000,16384.00,1728.0000,0.008310,0.095808,2.651559,34.2,200.0,33.8,172.0
198,696.247,0.036,330.668,0.0109,364.551,0,0,0.0000,16384.00,1588.8999,-0.004849,0.079398,2.695187,33.8,172.0,33.8,178.0
199,673.631,0.043,315.692,0.0109,356.891,2,2,1.0000,8192.00,1008.9000,-0.014304,0.322652,2.563915,33.8,178.0,33.8,194.0
200,681.517,0.068,318.315,0.0103,362.140,0,0,0.0000,16384.00,1681.9000,-0.009383,0.098984,2.635772,33.8,194.0,34.2,202.0
201,695.012,0.066,332.494,0.0102,361.415,0,0,0.0000,16384.00,1557.7000,-0.008478,0.090837,2.613188,34.2,202.0,33.8,186.0
202,689.164,0.037,320.743,0.0103,367.388,3,3,1.0000,5461.33,659.7333,-0.020320,0.509330,2.567888,33.8,186.0,33.8,188.0
