update,n_simul_rounds,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
104,2,921.980,0.272,861.915,0.0317,54.022,3,1,0.3333,10922.67,6.666667,0.011290,0.139309,1.153657,34.2,166.0,34.2,172.0
105,2,861.298,0.328,819.473,0.0218,35.701,2,2,1.0000,16384.00,20.000000,0.006663,0.255772,1.282543,34.2,172.0,34.2,166.0
106,2,874.745,0.201,833.628,0.0211,35.149,2,1,0.5000,16384.00,10.000000,0.008128,0.284053,1.651932,34.2,166.0,34.2,172.0
107,1,514.080,0.167,432.733,0.0215,77.939,5,2,0.4000,6553.60,8.000000,0.005099,0.260956,1.692811,34.2,172.0,34.2,188.0
108,1,452.673,0.148,417.807,0.0213,31.729,3,1,0.3333,10922.67,6.666667,0.001933,0.309991,1.219795,34.2,188.0,34.2,162.0
109,2,953.297,0.335,840.038,0.0212,107.026,5,2,0.4000,6553.60,8.000000,0.000880,0.394529,1.551833,34.2,162.0,34.2,186.0
110,1,651.751,0.078,416.056,0.0222,231.618,8,6,0.7500,4096.00,15.000000,0.004312,0.288766,1.522259,34.2,186.0,34.2,154.0
111,1,484.944,0.150,428.119,0.0208,53.517,5,3,0.6000,6553.60,12.000000,0.002310,0.399248,1.263682,34.2,154.0,34.2,162.0
112,1,655.209,0.082,405.351,0.0203,245.909,7,6,0.8571,4681.14,17.142857,0.002745,0.245827,1.650964,34.2,162.0,33.8,162.0
113,1,485.577,0.082,416.870,0.0229,65.315,4,3,0.7500,8192.00,15.000000,0.008653,0.442593,1.558548,33.8,162.0,34.2,170.0
114,1,433.429,0.148,400.247,0.0222,30.043,4,2,0.5000,8192.00,10.000000,0.005131,0.417806,1.330813,34.2,170.0,34.2,148.0
115,1,464.580,0.157,396.177,0.0227,64.913,3,2,0.6667,10922.67,13.333333,0.008294,0.060932,1.570283,34.2,148.0,34.2,166.0
