update,n_simul_rounds,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
233,1,749.716,0.080,372.368,0.0210,373.224,13,11,0.8462,2520.62,16.923077,0.006616,0.295100,1.573005,34.2,158.0,34.2,150.0
234,1,640.983,0.153,372.855,0.0209,264.396,10,9,0.9000,3276.80,18.000000,0.006030,0.335322,1.421944,34.2,150.0,34.2,150.0
235,1,500.918,0.150,387.053,0.0222,110.519,5,5,1.0000,6553.60,20.000000,0.009804,0.174383,1.501271,34.2,150.0,34.2,160.0
236,1,448.120,0.080,389.044,0.0211,55.870,4,3,0.7500,8192.00,17.500000,0.010274,0.103233,1.633076,34.2,160.0,34.2,154.0
237,1,471.142,0.148,373.190,0.0205,94.212,7,6,0.8571,4681.14,17.142857,0.005462,0.611814,1.614680,34.2,154.0,34.2,164.0
238,1,415.150,0.137,378.097,0.0207,33.727,2,2,1.0000,16384.00,20.000000,0.006982,0.848963,1.481225,34.2,164.0,34.2,158.0
239,1,541.629,0.144,377.022,0.0236,160.632,6,6,1.0000,5461.33,20.000000,0.003051,0.429282,1.599757,34.2,158.0,34.2,166.0
240,1,428.293,0.101,359.304,0.0245,65.831,5,4,0.8000,6553.60,16.000000,0.012027,0.381709,1.554532,34.2,166.0,34.2,178.0
241,1,532.906,0.092,358.223,0.0228,171.013,8,7,0.8750,4096.00,17.500000,0.002044,0.397367,1.532178,34.2,178.0,34.2,160.0
242,1,446.435,0.082,370.281,0.0213,72.505,6,4,0.6667,5461.33,13.333333,-0.001824,0.656139,1.421600,34.2,160.0,34.2,152.0
243,1,414.699,0.096,362.248,0.0233,49.229,1,1,1.0000,32768.00,20.000000,0.005165,0.330609,1.311669,34.2,152.0,34.2,168.0
244,1,511.875,0.092,381.250,0.0267,127.212,6,5,0.8333,5461.33,16.666667,0.006819,0.347086,1.681363,34.2,168.0,34.2,172.0
245,1,418.085,0.150,380.847,0.0221,33.868,2,2,1.0000,16384.00,20.000000,0.007100,1.065657,1.478914,34.2,172.0,34.2,146.0
