update,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
423,961.021,0.067,452.351,0.0104,507.456,2,2,1.0000,8192.00,2035.0000,0.018285,0.509838,1.243006,34.2,256.0,34.2,254.0
424,958.259,0.034,475.295,0.0106,481.763,1,1,1.0000,16384.00,3748.0000,-0.004072,0.343946,1.240157,34.2,254.0,34.2,270.0
425,989.514,0.032,481.300,0.0110,507.033,0,0,0.0000,16384.00,3927.7000,-0.005836,0.207612,1.206885,34.2,270.0,34.2,272.0
426,998.151,0.067,484.072,0.0104,512.817,3,2,0.6667,5461.33,1428.4334,-0.009907,0.395223,1.182410,34.2,272.0,34.2,276.0
427,988.568,0.033,486.745,0.0103,500.640,2,2,1.0000,8192.00,2059.3501,-0.004153,0.386579,1.107633,34.2,276.0,34.2,290.0
428,993.242,0.027,483.615,0.0102,508.411,1,0,0.0000,16384.00,3944.7000,0.001209,0.230449,1.214367,34.2,290.0,34.2,282.0
429,990.621,0.052,459.049,0.0115,530.357,1,0,0.0000,16384.00,3979.8999,-0.022643,0.233412,1.307422,34.2,282.0,34.2,258.0
430,1101.851,0.066,508.412,0.0109,592.183,0,0,0.0000,16384.00,3972.6001,-0.001528,0.201539,1.236415,34.2,258.0,34.2,270.0
431,1177.550,0.069,503.934,0.0101,672.328,1,0,0.0000,16384.00,3747.3999,0.001603,0.185111,1.193961,34.2,270.0,34.2,266.0
432,1138.451,0.066,499.581,0.0102,637.534,1,0,0.0000,16384.00,3702.3999,-0.015485,0.214282,1.293812,34.2,266.0,34.2,274.0
433,1205.679,0.063,536.858,0.0104,667.479,2,0,0.0000,8192.00,1748.8000,-0.007285,0.205557,1.282351,34.2,274.0,34.2,290.0
434,1212.518,0.030,525.686,0.0103,685.511,0,0,0.0000,16384.00,3637.2998,0.010114,0.232573,1.319548,34.2,290.0,34.2,258.0
435,1201.552,0.031,521.953,0.0102,678.380,1,0,0.0000,16384.00,3620.6001,-0.000264,0.214886,1.367561,34.2,258.0,34.2,272.0
436,1112.186,0.059,509.911,0.0104,601.002,1,0,0.0000,16384.00,3687.3999,-0.015858,0.236907,1.306346,34.2,272.0,34.2,264.0
437,1075.144,0.035,512.582,0.0101,561.285,5,3,0.6000,3276.80,792.8000,0.001027,0.774868,1.316774,34.2,264.0,34.2,270.0
438,1182.803,0.043,523.116,0.0110,658.421,1,1,1.0000,16384.00,3857.1001,0.016572,0.368733,1.266047,34.2,270.0,33.8,260.0
439,1183.274,0.068,534.005,0.0104,647.933,0,0,0.0000,16384.00,3640.8999,0.002675,0.206163,1.343726,33.8,260.0,34.2,266.0
440,1182.981,0.066,534.278,0.0111,647.300,0,0,0.0000,16384.00,3569.6001,-0.001582,0.204449,1.352274,34.2,266.0,34.2,262.0
441,1233.594,0.031,542.304,0.0103,689.942,0,0,0.0000,16384.00,3654.1001,-0.000458,0.184719,1.284172,34.2,262.0,34.2,262.0
442,1290.630,0.032,544.771,0.0104,744.525,0,0,0.0000,16384.00,3530.2000,0.009831,0.204869,1.261492,34.2,262.0,33.8,256.0
443,1185.365,0.032,518.080,0.0101,665.959,1,0,0.0000,16384.00,3850.1001,-0.019264,0.212599,1.272277,33.8,256.0,34.2,266.0
444,1176.128,0.034,523.646,0.0108,651.186,1,0,0.0000,16384.00,3899.3999,0.012027,0.220276,1.252795,34.2,266.0,33.8,248.0
445,1247.948,0.055,533.790,0.0104,712.705,3,3,1.0000,5461.33,1351.1667,0.001692,0.703728,1.230153,33.8,248.0,34.2,270.0
446,1213.372,0.037,536.795,0.0105,675.171,1,1,1.0000,16384.00,4096.0000,-0.001145,0.302111,1.235797,34.2,270.0,34.2,270.0
447,1254.472,0.034,545.150,0.0102,707.987,1,0,0.0000,16384.00,3837.3999,-0.005403,0.230688,1.234619,34.2,270.0,34.2,268.0
448,1240.695,0.061,541.134,0.0106,698.178,0,0,0.0000,16384.00,4047.3000,-0.015516,0.208693,1.259924,34.2,268.0,34.2,278.0
449,1272.698,0.040,552.112,0.0106,719.213,1,0,0.0000,16384.00,4177.3999,-0.025204,0.247152,1.143644,34.2,278.0,33.8,244.0
