update,n_simul_rounds,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
116,1,1593.465,0.242,207.253,0.0220,1383.769,63,63,1.0000,520.13,20.000000,0.001983,0.432833,1.139051,4.2,10.0,34.2,134.0
117,1,1298.303,0.076,282.009,0.0217,1011.936,33,33,1.0000,992.97,20.000000,0.003738,0.345488,1.314558,34.2,134.0,34.2,160.0
118,1,1124.637,0.081,308.735,0.0223,811.557,35,35,1.0000,936.23,20.000000,0.001350,0.353859,1.280061,34.2,160.0,34.2,164.0
119,1,1107.199,0.142,300.539,0.0228,802.188,22,22,1.0000,1489.45,20.000000,0.003256,0.243039,1.438812,34.2,164.0,34.2,154.0
120,1,1078.681,0.083,293.632,0.0224,780.859,30,30,1.0000,1092.27,20.000000,0.002495,0.328369,1.479700,34.2,154.0,34.2,158.0
121,1,717.225,0.079,302.411,0.0213,411.735,17,17,1.0000,1927.53,20.000000,0.001755,0.401154,1.429603,34.2,158.0,34.2,174.0
122,1,650.307,0.133,316.033,0.0206,330.965,12,12,1.0000,2730.67,20.000000,0.005450,0.266270,1.507248,34.2,174.0,34.2,168.0
123,1,759.101,0.126,305.602,0.0218,449.893,16,16,1.0000,2048.00,20.000000,0.007116,0.296978,1.540049,34.2,168.0,34.2,162.0
124,1,617.824,0.146,335.856,0.0225,278.833,6,6,1.0000,5461.33,20.000000,0.010674,0.119187,1.358745,34.2,162.0,34.2,162.0
125,1,950.771,0.078,318.491,0.0239,628.811,25,25,1.0000,1310.72,20.000000,0.005180,0.393655,1.504589,34.2,162.0,34.2,164.0
126,1,514.881,0.144,326.786,0.0214,185.365,5,5,1.0000,6553.60,20.000000,0.007355,0.354283,1.561615,34.2,164.0,34.2,182.0
