update,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
276,461.618,0.078,193.196,0.0105,267.659,9,9,1.0000,1820.44,711.7333,-0.002375,1.197553,1.354925,4.2,10.0,34.2,172.0
277,704.055,0.066,302.662,0.0101,400.478,1,1,1.0000,16384.00,3993.8000,-0.003243,0.204076,1.634737,34.2,172.0,34.2,234.0
278,814.025,0.037,373.470,0.0103,439.631,0,0,0.0000,16384.00,3356.0000,0.007105,0.139605,1.699966,34.2,234.0,34.2,204.0
279,839.182,0.066,385.555,0.0104,452.589,1,1,1.0000,16384.00,3338.3999,0.005680,0.245949,1.791615,34.2,204.0,34.2,192.0
280,882.773,0.034,418.538,0.0099,463.201,0,0,0.0000,16384.00,3251.0002,-0.015464,0.152413,1.778359,34.2,192.0,34.2,220.0
281,874.741,0.069,409.340,0.0115,464.329,2,2,1.0000,8192.00,1636.5000,-0.009839,0.354852,1.867636,34.2,220.0,34.2,218.0
282,867.050,0.037,417.038,0.0104,448.978,0,0,0.0000,16384.00,3348.3999,0.005274,0.170756,1.763670,34.2,218.0,34.2,196.0
283,878.989,0.068,422.352,0.0108,455.604,0,0,0.0000,16384.00,3344.8999,0.002093,0.182505,1.720725,34.2,196.0,33.8,192.0
284,899.604,0.062,423.885,0.0107,474.661,0,0,0.0000,16384.00,3595.1001,-0.012485,0.172499,1.639095,33.8,192.0,33.8,184.0
285,917.565,0.069,441.705,0.0102,474.803,1,1,1.0000,16384.00,3572.2000,-0.002725,0.338548,1.621134,33.8,184.0,33.8,188.0
286,926.404,0.034,440.482,0.0112,484.877,0,0,0.0000,16384.00,3601.4001,-0.013444,0.200132,1.567446,33.8,188.0,34.2,194.0
287,992.712,0.036,456.204,0.0112,535.464,0,0,0.0000,16384.00,3598.0999,-0.016164,0.206824,1.514496,34.2,194.0,34.2,192.0
288,1056.692,0.031,474.876,0.0106,580.726,1,1,1.0000,16384.00,3614.2000,-0.003490,0.371043,1.632055,34.2,192.0,34.2,200.0
289,1036.407,0.070,471.727,0.0106,563.480,0,0,0.0000,16384.00,3729.1001,0.006979,0.246032,1.499314,34.2,200.0,34.2,184.0
290,1010.280,0.067,461.633,0.0104,547.461,0,0,0.0000,16384.00,3632.2998,-0.000263,0.226165,1.541500,34.2,184.0,34.2,210.0
291,1097.788,0.033,483.349,0.0102,613.351,0,0,0.0000,16384.00,3569.5000,0.001355,0.253748,1.500382,34.2,210.0,34.2,206.0
292,1025.117,0.068,459.513,0.0105,564.457,1,1,1.0000,16384.00,3724.8000,0.011239,0.550609,1.357793,34.2,206.0,33.8,172.0
293,971.650,0.033,430.606,0.0104,539.959,0,0,0.0000,16384.00,3575.9001,0.011693,0.276993,1.385715,33.8,172.0,33.8,170.0
294,984.722,0.035,439.240,0.0105,544.330,0,0,0.0000,16384.00,3490.9001,-0.004422,0.261704,1.403904,33.8,170.0,34.2,222.0
295,1012.688,0.032,452.040,0.0104,559.553,0,0,0.0000,16384.00,3443.7002,0.005559,0.242414,1.430034,34.2,222.0,33.8,196.0
296,1019.962,0.070,453.646,0.0111,565.200,0,0,0.0000,16384.00,3597.3999,-0.002107,0.240428,1.391835,33.8,196.0,34.2,212.0
297,1030.576,0.057,454.930,0.0102,574.472,0,0,0.0000,16384.00,3645.7000,-0.007547,0.265539,1.332835,34.2,212.0,34.2,214.0
298,1057.674,0.048,476.568,0.0102,579.936,1,1,1.0000,16384.00,3710.0000,-0.010453,0.379220,1.304386,34.2,214.0,33.8,172.0
299,1128.579,0.034,479.182,0.0119,648.287,0,0,0.0000,16384.00,3517.0000,0.005221,0.281908,1.263704,33.8,172.0,34.2,208.0
300,1050.243,0.033,477.932,0.0101,571.121,0,0,0.0000,16384.00,3522.8000,-0.006287,0.266468,1.280001,34.2,208.0,34.2,182.0
301,1086.455,0.068,473.968,0.0101,611.330,0,0,0.0000,16384.00,3882.0000,0.007777,0.281968,1.225136,34.2,182.0,34.2,218.0
302,1056.995,0.030,476.358,0.0110,579.433,0,0,0.0000,16384.00,3942.2002,0.013540,0.241533,1.177225,34.2,218.0,34.2,208.0
303,1094.611,0.071,478.718,0.0104,614.673,0,0,0.0000,16384.00,3748.5000,0.001195,0.246236,1.257081,34.2,208.0,34.2,206.0
304,1108.562,0.067,482.962,0.0105,624.360,0,0,0.0000,16384.00,3774.7000,-0.001014,0.264883,1.195980,34.2,206.0,34.2,196.0
305,1042.764,0.030,466.330,0.0104,575.231,1,1,1.0000,16384.00,3878.5999,-0.004783,0.284314,1.118671,34.2,196.0,34.2,208.0
306,1084.881,0.046,474.535,0.0107,609.061,1,0,0.0000,16384.00,3791.7002,0.000074,0.325168,1.217622,34.2,208.0,34.2,222.0
307,1020.254,0.068,473.605,0.0117,545.320,0,0,0.0000,16384.00,4195.7002,-0.006824,0.309096,1.166800,34.2,222.0,34.2,212.0
308,1072.998,0.062,486.514,0.0104,585.145,1,0,0.0000,16384.00,4056.2002,-0.009182,0.281533,1.121224,34.2,212.0,34.2,214.0
309,1169.276,0.068,499.672,0.0107,668.273,1,1,1.0000,16384.00,3981.8999,0.000804,0.524431,1.125370,34.2,214.0,34.2,218.0
310,1093.861,0.072,495.783,0.0102,596.735,0,0,0.0000,16384.00,4045.3999,0.007698,0.294987,1.100058,34.2,218.0,34.2,224.0
311,1109.286,0.044,500.111,0.0114,607.881,0,0,0.0000,16384.00,3917.5999,-0.023409,0.307599,1.135372,34.2,224.0,34.2,206.0
312,1157.813,0.035,509.296,0.0103,647.233,0,0,0.0000,16384.00,3831.2000,-0.003247,0.292591,1.163719,34.2,206.0,34.2,206.0
313,1125.444,0.047,500.664,0.0105,623.503,0,0,0.0000,16384.00,4040.8999,0.006816,0.297872,1.075041,34.2,206.0,34.2,212.0
314,1134.783,0.063,501.346,0.0105,632.144,2,1,0.5000,8192.00,2012.8000,-0.007899,0.569181,1.115571,34.2,212.0,34.2,222.0
315,1112.035,0.035,500.835,0.0107,609.981,1,1,1.0000,16384.00,4042.3000,0.006705,0.497672,1.115356,34.2,222.0,34.2,226.0
316,1101.208,0.067,501.129,0.0100,598.735,2,0,0.0000,8192.00,1998.1500,-0.001071,0.306429,1.178249,34.2,226.0,34.2,202.0
317,1113.890,0.072,493.498,0.0097,619.066,3,1,0.3333,5461.33,1465.2334,0.012777,0.744677,1.114345,34.2,202.0,34.2,206.0
318,1133.738,0.035,505.264,0.0112,627.234,3,0,0.0000,5461.33,1498.5000,-0.017373,0.404302,1.133679,34.2,206.0,34.2,204.0
319,1180.616,0.068,506.486,0.0103,672.841,1,1,1.0000,16384.00,4537.7002,0.018049,0.594354,1.146021,34.2,204.0,34.2,224.0
320,1185.405,0.034,517.452,0.0103,666.655,1,0,0.0000,16384.00,4175.7002,-0.022967,0.317437,1.124678,34.2,224.0,34.2,216.0
321,1218.366,0.034,520.971,0.0103,696.117,2,0,0.0000,8192.00,2102.5000,0.007325,0.296206,1.168009,34.2,216.0,34.2,220.0
322,1073.107,0.051,498.086,0.0101,573.611,3,3,1.0000,5461.33,1590.8333,-0.019615,0.828265,1.242279,34.2,220.0,34.2,220.0
323,1229.625,0.029,524.324,0.0103,703.877,0,0,0.0000,16384.00,4191.0000,0.011770,0.280663,1.355461,34.2,220.0,34.2,198.0
324,1168.492,0.068,513.138,0.0111,653.918,3,1,0.3333,5461.33,1408.8667,0.013526,0.504348,1.355271,34.2,198.0,34.2,204.0
325,1170.202,0.043,516.112,0.0109,652.719,8,7,0.8750,2048.00,560.2625,0.007749,1.614918,1.312860,34.2,204.0,34.2,200.0
326,1192.910,0.047,531.822,0.0106,659.689,4,2,0.5000,4096.00,1045.5250,-0.013182,0.636180,1.328106,34.2,200.0,34.2,206.0
327,1236.639,0.036,537.499,0.0101,697.712,2,1,0.5000,8192.00,1805.1001,0.011135,0.417628,1.405194,34.2,206.0,34.2,204.0
328,1183.199,0.032,532.327,0.0109,649.512,2,0,0.0000,8192.00,1837.3000,-0.001655,0.316346,1.453293,34.2,204.0,34.2,200.0
329,1239.133,0.037,550.557,0.0106,687.309,2,1,0.5000,8192.00,1809.0500,-0.005895,0.449250,1.377103,34.2,200.0,34.2,214.0
330,1195.834,0.029,557.421,0.0108,637.040,0,0,0.0000,16384.00,3501.6001,-0.000275,0.329951,1.317071,34.2,214.0,34.2,202.0
331,1259.075,0.044,566.866,0.0105,690.910,4,2,0.5000,4096.00,976.5750,-0.021209,0.569924,1.333751,34.2,202.0,34.2,212.0
332,1310.213,0.068,589.052,0.0108,719.800,1,1,1.0000,16384.00,3348.2998,-0.013856,0.366833,1.489120,34.2,212.0,34.2,204.0
333,1370.415,0.069,599.260,0.0102,769.808,2,1,0.5000,8192.00,1655.8501,-0.015723,0.421475,1.515298,34.2,204.0,34.2,196.0
334,1345.917,0.065,598.794,0.0108,745.772,2,1,0.5000,8192.00,1607.9000,0.017098,0.630582,1.429740,34.2,196.0,34.2,202.0
335,1305.153,0.034,588.127,0.0109,715.640,1,1,1.0000,16384.00,3229.6001,0.006807,0.660429,1.556008,34.2,202.0,33.8,180.0
336,1235.577,0.036,577.628,0.0121,656.540,5,4,0.8000,3276.80,743.8800,0.012176,0.843724,1.493302,33.8,180.0,34.2,194.0
337,1371.910,0.072,597.584,0.0103,772.992,4,4,1.0000,4096.00,985.5000,-0.015700,0.692045,1.432751,34.2,194.0,34.2,208.0
